No_Hit,Age,Ever_Bankruptcy,Months_Since_Bankruptcy,Ever_Collection,Unpaid_Collection_Trades,Unpaid_Collection_Balance,Counseling_Last_12M,Unpaid_CO_84M,Delinq_90D_12M,Delinq_60D_12M,Delinq_60D_Curr,Delinq_30D_3M,Delinq_30D_Curr,Checking_Asset,Card_Inquiry_12M,Card_Open_24M,Personal_Loan,Unsecured_Debt,Revolving_Util,Income,Auth_User_Only,Student,Student_Loan_Amt,Ever_ChargeOff,ChargeOff_Balance,FICO_V,DTI,Accounts,FICO,FICO_Band,Utilization_Band,DTI_Band,DTI_Band_10pct,LoanAmount_Band,Asset_Band,Predicted_Chargeoff_Score
0,21,0,0,0,0,0,0,0,0,0,0,0,0,2963,3,1,0,744.8,0,35778,0,0,0,0,,541,0.020817262,1,Poor,541-550,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,1575,3,0,0,503,0.57610457,21814,0,0,0,0,,,0.023058586,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
0,25,0,0,0,0,0,1,0,0,0,0,0,0,911,0,0,0,775,0.520136762,34959,0,0,0,0,,551,0.022168826,1,Poor,551-560,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
0,20,0,0,1,0,0,0,1,0,0,0,1,0,1366,3,1,0,94.4,0.137703365,47856,0,0,0,1,50,636,0.001972584,1,Fair,631-640,Low (10-30%),Target (<36%),<1%,No debt,1001-1500,1
0,23,0,0,0,0,0,1,0,0,0,0,0,0,1711,0,1,0,374,0.179004068,41196,0,1,14373,0,,566,0.009078551,1,Poor,561-570,Low (10-30%),Target (<36%),<1%,High (10K–15K),1501-2000,0
1,22,0,0,1,0,0,0,1,1,0,1,1,0,1360,3,1,0,68,0,22033,1,0,0,0,,,0.00308628,1,,,Very Low (<10%),Target (<36%),<1%,No debt,1001-1500,0
1,19,0,0,0,0,0,0,0,0,1,0,1,1,900,0,2,0,656.8,0.008704851,41616,0,0,0,0,,,0.015782391,1,,,Very Low (<10%),Target (<36%),1–3%,No debt,501-1000,0
1,25,0,0,0,0,0,0,0,0,0,0,0,0,2425,3,1,0,628,0.266129469,45598,0,0,0,0,,,0.013772534,1,,,Low (10-30%),Target (<36%),1–3%,No debt,2001-2500,0
0,21,0,0,0,0,0,0,1,0,1,0,0,0,190,1,2,0,713.6,0.333105445,45117,0,1,12942.3,0,,622,0.015816654,1,Fair,621-630,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),<500,0
1,23,0,0,0,0,0,0,0,0,0,0,0,0,2395,3,2,1,1458,0.435860669,29130,0,1,3300,0,,,0.050051493,1,,,Moderate (30-60%),Target (<36%),5–7%,Low (1K–5K),2001-2500,0
0,23,0,0,0,0,0,0,1,0,0,0,0,1,2954,1,2,0,992,0.044417222,44160,0,1,19014,0,,619,0.022463768,1,Fair,611-620,Very Low (<10%),Target (<36%),1–3%,Very High (>15K),>2500,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,1627,1,0,0,601.6,0.320192905,51893,0,0,0,0,,646,0.011593086,1,Fair,641-650,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
0,21,0,0,0,0,0,1,0,0,0,0,0,0,706,3,3,1,228.8,0.11440632,34669,0,1,4826.5,0,,526,0.006599556,1,Poor,521-530,Low (10-30%),Target (<36%),<1%,Low (1K–5K),501-1000,0
1,22,0,0,0,0,0,0,0,0,0,0,1,0,1739,3,1,0,418,0.315754179,23435,1,0,0,0,,,0.017836569,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
1,18,0,0,0,0,0,0,0,0,1,0,0,0,1861,1,1,1,673.6,0,26286,0,1,4841.9,0,,,0.025625808,1,,,Very Low (<10%),Target (<36%),1–3%,Low (1K–5K),1501-2000,0
0,21,0,0,0,0,0,1,0,0,1,0,1,0,592,1,1,0,356.8,0.032254946,38733,0,0,0,0,,630,0.009211783,1,Fair,621-630,Very Low (<10%),Target (<36%),<1%,No debt,501-1000,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,932,2,0,0,491.2,0.118058909,52171,0,1,10087.7,0,,,0.009415192,1,,,Low (10-30%),Target (<36%),<1%,High (10K–15K),501-1000,0
0,23,0,0,1,0,0,1,0,1,1,0,0,0,2502,1,1,0,649,0.071177879,43476,0,0,0,1,,573,0.014927776,1,Poor,571-580,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,1
0,22,0,0,0,0,0,0,0,0,0,0,0,1,673,3,1,0,744,0.432142596,48911,1,0,0,0,,659,0.015211302,1,Fair,651-660,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
0,21,0,0,1,0,0,1,0,1,0,1,0,0,905,0,2,0,751.2,0.612409705,22940,0,1,3819.2,1,,604,0.032746295,1,Fair,601-610,High (60-100%),Target (<36%),3–5%,Low (1K–5K),501-1000,1
1,18,0,0,0,0,0,1,0,0,0,0,0,1,1361,3,2,0,625.6,0.291391801,40168,0,1,12863.9,0,,,0.015574587,1,,,Low (10-30%),Target (<36%),1–3%,High (10K–15K),1001-1500,0
1,20,0,0,1,0,0,1,0,1,1,1,1,1,2246,0,1,0,722.4,0.317049228,47334,0,0,0,0,,,0.015261757,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,2001-2500,0
0,20,0,0,1,0,0,0,0,1,0,0,0,0,2518,0,0,0,561.6,0.2792806,27496,1,0,0,0,,668,0.020424789,1,Fair,661-670,Low (10-30%),Target (<36%),1–3%,No debt,>2500,0
1,19,0,0,0,0,0,1,1,0,0,0,1,0,1878,1,0,0,696,0.459978746,33379,0,1,3704.4,0,,,0.020851434,1,,,Moderate (30-60%),Target (<36%),1–3%,Low (1K–5K),1501-2000,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,713,0,1,1,1190,0.26591324,34044,0,0,0,0,,677,0.034954764,1,Good,671-680,Low (10-30%),Target (<36%),3–5%,No debt,501-1000,0
1,21,0,0,0,0,0,1,1,0,0,0,1,0,1783,2,1,0,696,0.589225535,48268,1,0,0,0,,,0.014419491,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,753,0,1,0,509.6,0.245047317,47312,1,0,0,0,,617,0.010771052,1,Fair,611-620,Low (10-30%),Target (<36%),1–3%,No debt,501-1000,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,319,3,1,0,181,0.458839943,48508,1,0,0,0,,624,0.003731343,1,Fair,621-630,Moderate (30-60%),Target (<36%),<1%,No debt,<500,0
0,23,0,0,0,0,0,1,0,0,0,1,1,0,226,0,1,0,197,0.307404407,35921,0,0,0,1,,622,0.005484257,1,Fair,621-630,Moderate (30-60%),Target (<36%),<1%,No debt,<500,1
1,23,0,0,0,0,0,1,0,0,1,0,0,0,2374,3,1,0,877,0.314372367,32939,0,1,8823,0,,,0.026624973,1,,,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),2001-2500,0
1,24,0,0,0,0,0,1,0,0,0,0,1,0,2806,2,2,0,585,0.20364276,39800,0,0,0,0,,,0.014698492,1,,,Low (10-30%),Target (<36%),1–3%,No debt,>2500,0
1,23,0,0,1,0,0,0,0,1,0,1,0,0,2317,0,2,0,612,0.390723876,43188,0,1,7906,1,,,0.014170603,1,,,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),2001-2500,1
1,20,0,0,1,0,0,1,0,0,0,1,0,0,1610,2,0,0,732,0.105033071,50220,0,1,1851.5,1,,,0.014575866,1,,,Low (10-30%),Target (<36%),1–3%,Low (1K–5K),1501-2000,1
0,21,0,0,0,0,0,0,0,0,0,0,0,1,239,0,0,0,436,0.130711521,23433,0,0,0,0,,675,0.018606239,1,Good,671-680,Low (10-30%),Target (<36%),1–3%,No debt,<500,0
1,24,0,0,0,0,0,0,1,0,0,0,0,1,173,0,2,0,190,0.40621245,24370,0,0,0,0,,,0.007796471,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,<500,0
1,21,0,0,0,0,0,1,0,0,0,0,0,0,191,3,1,0,436.8,0.485364186,40010,0,0,0,0,,,0.010917271,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,<500,0
0,25,0,0,1,0,0,1,1,1,0,1,1,0,1448,0,2,1,447,0.28153231,49655,0,0,0,1,,618,0.009002115,1,Fair,611-620,Low (10-30%),Target (<36%),<1%,No debt,1001-1500,1
1,20,0,0,0,0,0,0,1,0,1,0,0,0,2535,3,1,1,1556.8,0.072404983,34789,0,1,15486.8,0,,,0.044749777,1,,,Very Low (<10%),Target (<36%),3–5%,Very High (>15K),>2500,0
0,22,0,0,1,0,0,1,0,1,0,1,0,0,2311,0,1,0,779,0.395181552,37835,0,0,0,0,,657,0.020589401,1,Fair,651-660,Moderate (30-60%),Target (<36%),1–3%,No debt,2001-2500,0
1,20,0,0,0,0,0,0,0,0,0,0,1,0,1880,0,0,0,253.6,0.158478039,40760,0,0,0,0,,,0.006221786,1,,,Low (10-30%),Target (<36%),<1%,No debt,1501-2000,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1157,0,0,0,754,0.342146336,54636,0,0,0,0,,554,0.013800425,1,Poor,551-560,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
0,18,0,0,0,0,0,1,0,0,1,0,0,0,1154,0,1,0,187.2,0.732059777,49705,1,1,7939.4,0,,642,0.003766221,1,Fair,641-650,High (60-100%),Target (<36%),<1%,Moderate (5K–10K),1001-1500,0
0,19,0,0,1,0,0,0,0,1,0,0,0,0,1552,2,1,0,704,0.423673294,18929,1,1,12491.5,1,,560,0.037191611,1,Poor,551-560,Moderate (30-60%),Target (<36%),3–5%,High (10K–15K),1501-2000,1
0,21,0,0,0,0,0,0,1,0,0,0,0,0,1891,1,2,0,195.2,0.350965501,36556,0,0,0,0,,658,0.005339753,1,Fair,651-660,Moderate (30-60%),Target (<36%),<1%,No debt,1501-2000,0
0,18,0,0,0,0,0,1,0,0,0,0,0,0,2771,0,1,0,273.6,0,22857,0,0,0,0,,669,0.011970075,1,Fair,661-670,Very Low (<10%),Target (<36%),1–3%,No debt,>2500,0
1,19,0,0,1,0,0,0,1,1,0,0,1,0,414,2,2,0,92,0.065819002,39826,0,1,14075.6,1,,,0.002310049,1,,,Very Low (<10%),Target (<36%),<1%,High (10K–15K),<500,1
0,18,0,0,0,0,0,0,0,0,0,0,0,1,2065,1,0,1,956.8,0.320310372,23776,0,1,6876.1,0,,673,0.040242261,1,Good,671-680,Moderate (30-60%),Target (<36%),3–5%,Moderate (5K–10K),2001-2500,0
1,19,0,0,1,0,0,0,1,1,0,1,0,0,2418,0,0,0,624,0,41864,1,0,0,0,,,0.014905408,1,,,Very Low (<10%),Target (<36%),1–3%,No debt,2001-2500,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,2357,0,2,1,1539,0.047849099,33649,0,1,15386,0,,607,0.045736872,1,Fair,601-610,Very Low (<10%),Target (<36%),3–5%,Very High (>15K),2001-2500,0
0,19,0,0,0,0,0,0,0,0,0,0,0,1,1905,0,2,1,1353.6,0.381163263,23571,1,1,8666,0,,659,0.057426499,1,Fair,651-660,Moderate (30-60%),Target (<36%),5–7%,Moderate (5K–10K),1501-2000,0
1,21,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,2,1,384,0.653404222,19316,0,0,0,0,,,0.019879892,1,,,High (60-100%),Target (<36%),1–3%,No debt,1001-1500,0
0,21,0,0,0,0,0,0,0,0,0,0,1,1,698,0,1,0,760.8,0.456896218,36156,0,0,0,0,,569,0.021042151,1,Poor,561-570,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
0,24,0,0,1,0,0,0,0,1,0,0,0,0,1723,0,2,1,607,0.402511468,54609,0,0,0,0,,613,0.011115384,1,Fair,611-620,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,0
0,21,0,0,1,0,0,0,0,1,0,0,0,0,2562,3,2,1,1404,0.371115022,48116,0,0,0,0,,518,0.029179483,1,Poor,511-520,Moderate (30-60%),Target (<36%),1–3%,No debt,>2500,0
1,24,0,0,0,0,0,1,0,1,1,0,1,0,2826,3,1,0,643,0.303621085,20204,0,0,0,0,,,0.031825381,1,,,Moderate (30-60%),Target (<36%),3–5%,No debt,>2500,0
0,25,0,0,0,0,0,0,0,1,1,1,1,1,1741,3,1,0,579,0.1,49030,0,0,0,0,,653,0.011809096,1,Fair,651-660,Low (10-30%),Target (<36%),1–3%,No debt,1501-2000,0
1,20,0,0,0,0,0,0,0,0,0,0,0,0,59,3,1,0,196.8,0.008059395,51396,0,0,0,0,,,0.003829092,1,,,Very Low (<10%),Target (<36%),<1%,No debt,<500,0
0,23,0,0,1,0,0,0,0,1,0,1,0,0,1114,0,0,0,400,0.32945587,44536,1,1,4871,1,,641,0.008981498,1,Fair,641-650,Moderate (30-60%),Target (<36%),<1%,Low (1K–5K),1001-1500,1
1,18,0,0,0,0,0,1,1,0,0,0,1,0,270,3,0,0,88.8,0.184078323,46152,0,0,0,0,,,0.001924077,1,,,Low (10-30%),Target (<36%),<1%,No debt,<500,0
1,21,0,0,0,0,0,0,0,0,1,0,0,0,2725,2,0,0,202.4,0.550461176,50252,0,1,2366,0,,,0.0040277,1,,,Moderate (30-60%),Target (<36%),<1%,Low (1K–5K),>2500,0
1,19,0,0,0,0,0,1,0,0,0,0,0,0,1982,2,1,0,560.8,0.147279157,34589,0,0,0,0,,,0.016213247,1,,,Low (10-30%),Target (<36%),1–3%,No debt,1501-2000,0
1,25,0,0,0,0,0,1,0,0,1,0,0,0,1026,2,1,0,784,0,50920,0,0,0,0,,,0.015396701,1,,,Very Low (<10%),Target (<36%),1–3%,No debt,1001-1500,0
0,19,0,0,1,0,0,0,0,1,0,0,0,0,1874,1,1,0,719.2,0.259705677,22997,0,1,8804.6,1,,622,0.031273644,1,Fair,621-630,Low (10-30%),Target (<36%),3–5%,Moderate (5K–10K),1501-2000,1
1,23,0,0,0,0,0,0,1,0,1,0,0,0,99,3,0,0,196,0.279653882,21765,0,0,0,0,,,0.009005284,1,,,Low (10-30%),Target (<36%),<1%,No debt,<500,0
0,23,0,0,0,0,0,0,1,0,0,0,1,0,1391,0,0,0,467,0,46230,0,0,0,0,,668,0.010101666,1,Fair,661-670,Very Low (<10%),Target (<36%),1–3%,No debt,1001-1500,0
1,19,0,0,0,0,0,0,0,0,1,0,0,0,645,2,2,0,246.4,0.39605138,47231,0,1,16493.4,0,,,0.005216913,1,,,Moderate (30-60%),Target (<36%),<1%,Very High (>15K),501-1000,0
0,21,0,0,0,0,0,0,1,0,0,0,0,0,1522,0,0,0,652.8,0.376238345,29683,1,1,7256.9,0,,560,0.021992386,1,Poor,551-560,Moderate (30-60%),Target (<36%),1–3%,Moderate (5K–10K),1501-2000,0
0,23,0,0,0,0,0,1,0,0,0,0,0,0,92,0,0,0,211,0.355684783,19134,0,0,0,0,,543,0.01102749,1,Poor,541-550,Moderate (30-60%),Target (<36%),1–3%,No debt,<500,0
1,22,0,0,0,0,0,0,0,0,0,0,1,1,1623,2,2,0,318,0,52761,0,0,0,0,,,0.006027179,1,,,Very Low (<10%),Target (<36%),<1%,No debt,1501-2000,0
0,24,0,0,0,0,0,1,0,0,1,0,1,0,494,1,2,0,741,0,23668,0,0,0,0,,561,0.031308095,1,Poor,561-570,Very Low (<10%),Target (<36%),3–5%,No debt,<500,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,170,0,1,0,739.2,0.392266941,53436,1,0,0,0,,,0.013833371,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,<500,0
1,19,0,0,0,0,0,0,0,0,0,0,1,1,1621,1,1,0,250.4,0.208636066,36978,0,1,1460.2,0,,,0.006771594,1,,,Low (10-30%),Target (<36%),<1%,Low (1K–5K),1501-2000,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,646,1,0,0,13.6,0.317370072,22733,0,1,16179.1,0,,513,0.000598249,1,Poor,511-520,Moderate (30-60%),Target (<36%),<1%,Very High (>15K),501-1000,0
1,19,0,0,0,0,0,0,0,0,0,0,1,0,1582,0,2,1,54.4,0.097555781,26640,0,0,0,0,,,0.002042042,1,,,Very Low (<10%),Target (<36%),<1%,No debt,1501-2000,0
0,19,0,0,0,0,0,0,1,0,1,0,0,0,1080,1,0,1,193.6,0.241773958,54468,0,1,7951.3,0,,626,0.003554381,1,Fair,621-630,Low (10-30%),Target (<36%),<1%,Moderate (5K–10K),1001-1500,0
0,23,0,0,0,0,0,0,0,0,0,0,1,0,948,2,0,0,56,0.300373605,28531,0,1,13312,0,,680,0.001962777,1,Good,671-680,Moderate (30-60%),Target (<36%),<1%,High (10K–15K),501-1000,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,1957,2,1,0,76,0.212388252,32683,0,0,0,0,,582,0.002325368,1,Fair,581-590,Low (10-30%),Target (<36%),<1%,No debt,1501-2000,0
1,23,0,0,0,0,0,0,1,0,0,0,0,0,632,3,0,0,901,0.314080473,28966,0,0,0,0,,,0.031105434,1,,,Moderate (30-60%),Target (<36%),3–5%,No debt,501-1000,0
0,24,0,0,0,0,0,0,0,0,0,0,0,0,2813,1,2,0,592,0.062747489,51625,0,1,15680,0,,545,0.011467312,1,Poor,541-550,Very Low (<10%),Target (<36%),1–3%,Very High (>15K),>2500,0
1,25,0,0,0,0,0,1,0,1,1,0,0,0,557,3,0,0,165,0.064287776,48926,0,0,0,1,,,0.00337244,1,,,Very Low (<10%),Target (<36%),<1%,No debt,501-1000,1
0,23,0,0,0,0,0,0,0,0,0,0,0,1,700,1,1,0,708,0.157766724,40164,1,1,7232,0,,665,0.017627726,1,Fair,661-670,Low (10-30%),Target (<36%),1–3%,Moderate (5K–10K),501-1000,0
0,24,0,0,0,0,0,0,0,1,0,0,1,0,1050,1,1,0,832,0.471557412,36062,0,0,0,0,,540,0.023071377,1,Poor,531-540,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
0,21,0,0,1,0,0,1,0,1,1,1,0,0,1167,0,0,0,755.2,0.319538197,42519,0,1,11896.5,1,,582,0.017761471,1,Fair,581-590,Moderate (30-60%),Target (<36%),1–3%,High (10K–15K),1001-1500,1
0,18,0,0,1,0,0,1,0,1,1,1,0,0,2185,3,2,0,142.4,0.301957708,51998,1,0,0,1,,547,0.002738567,1,Poor,541-550,Moderate (30-60%),Target (<36%),<1%,No debt,2001-2500,1
1,23,0,0,0,0,0,0,0,0,0,0,0,0,2825,1,2,0,898,0.175949831,43479,0,0,0,0,,,0.020653649,1,,,Low (10-30%),Target (<36%),1–3%,No debt,>2500,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,985,0,2,0,974,0.470293576,53871,1,0,0,0,,667,0.018080229,1,Fair,661-670,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,2585,0,0,1,1302,0.561240658,32523,0,0,0,0,,645,0.040033207,1,Fair,641-650,Moderate (30-60%),Target (<36%),3–5%,No debt,>2500,0
0,22,0,0,0,0,0,0,0,0,0,0,1,0,2519,3,3,0,184,0.125262844,45529,0,0,0,0,,543,0.00404138,1,Poor,541-550,Low (10-30%),Target (<36%),<1%,No debt,>2500,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,325,3,1,0,744.8,0,34279,0,1,15811.6,0,,,0.021727588,1,,,Very Low (<10%),Target (<36%),1–3%,Very High (>15K),<500,0
0,22,0,0,0,0,0,0,0,0,0,0,0,0,1856,3,1,1,1066,0,33549,0,1,21497,0,,669,0.03177442,1,Fair,661-670,Very Low (<10%),Target (<36%),3–5%,Very High (>15K),1501-2000,0
0,25,0,0,0,0,0,0,0,1,0,0,0,1,871,3,0,0,370,0.314954487,41666,0,0,0,1,,600,0.008880142,1,Fair,591-600,Moderate (30-60%),Target (<36%),<1%,No debt,501-1000,1
0,19,0,0,0,0,0,0,0,1,0,1,0,0,1026,0,2,0,65.6,0.054102492,42423,0,1,2772.7,0,,611,0.001546331,1,Fair,611-620,Very Low (<10%),Target (<36%),<1%,Low (1K–5K),1001-1500,0
0,18,0,0,0,0,0,0,0,0,0,0,0,0,2899,2,1,0,503.2,0.467079013,50703,0,0,0,0,,679,0.009924462,1,Good,671-680,Moderate (30-60%),Target (<36%),<1%,No debt,>2500,0
1,21,0,0,0,0,0,1,0,1,1,1,1,0,2280,3,0,0,461.6,0.154784013,47523,1,0,0,1,,,0.009713192,1,,,Low (10-30%),Target (<36%),<1%,No debt,2001-2500,1
1,21,0,0,0,0,0,0,0,0,0,0,1,0,1376,2,2,1,630.4,0.593695357,28377,0,0,0,0,,,0.022215174,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1001-1500,0
1,21,0,0,0,0,0,0,1,0,0,0,0,0,2127,2,2,0,712,0.32066758,21961,1,0,0,0,,,0.03242111,1,,,Moderate (30-60%),Target (<36%),3–5%,No debt,2001-2500,0
1,22,0,0,0,0,0,0,0,1,0,0,1,1,1408,0,1,0,207,0.457641417,26848,1,0,0,1,,,0.007710072,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,1001-1500,1
1,18,0,0,0,0,0,0,0,0,0,0,0,0,456,0,1,0,3.2,0.053159714,20618,0,1,6249.6,0,,,0.000155204,1,,,Very Low (<10%),Target (<36%),<1%,Moderate (5K–10K),<500,0
0,22,0,0,0,0,0,0,0,0,0,0,1,1,2141,3,0,0,326,0.166260964,27343,0,0,0,0,,597,0.011922613,1,Fair,591-600,Low (10-30%),Target (<36%),1–3%,No debt,2001-2500,0
1,22,0,0,0,0,0,0,1,0,0,0,0,0,1497,1,0,0,211,0.31082807,30734,0,0,0,0,,,0.006865361,1,,,Moderate (30-60%),Target (<36%),<1%,No debt,1001-1500,0
1,18,0,0,1,0,0,0,1,1,0,0,0,1,1588,0,2,0,423.2,0.32983031,37630,0,0,0,1,,,0.011246346,1,,,Moderate (30-60%),Target (<36%),1–3%,No debt,1501-2000,1
1,18,0,0,0,0,0,0,0,0,0,0,0,0,2145,1,1,0,417.6,0.055863327,20941,1,1,10567.9,0,,,0.019941741,1,,,Very Low (<10%),Target (<36%),1–3%,High (10K–15K),2001-2500,0
0,24,0,0,0,0,0,0,1,0,0,0,1,0,1973,2,1,0,826,0.687245978,32407,1,0,0,0,,513,0.02548832,1,Poor,511-520,High (60-100%),Target (<36%),1–3%,No debt,1501-2000,0
0,18,0,0,0,0,0,0,0,0,1,0,0,0,125,0,1,0,624.8,0,38674,0,1,16757.3,0,,671,0.016155557,1,Good,671-680,Very Low (<10%),Target (<36%),1–3%,Very High (>15K),<500,0
0,25,0,0,0,0,0,0,0,0,0,0,1,0,1860,2,1,0,829,0.122454056,49730,0,0,0,0,,546,0.016670018,1,Poor,541-550,Low (10-30%),Target (<36%),1–3%,No debt,1501-2000,0
1,18,0,0,0,0,0,0,0,0,0,0,0,1,667,2,2,0,391.2,0.358940266,28680,0,1,1600.9,0,,,0.013640167,1,,,Moderate (30-60%),Target (<36%),1–3%,Low (1K–5K),501-1000,0
0,21,0,0,0,0,0,1,0,1,0,0,0,0,1483,2,1,0,576,0.078583051,41238,0,1,8939,0,,642,0.0139677,1,Fair,641-650,Very Low (<10%),Target (<36%),1–3%,Moderate (5K–10K),1001-1500,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,827,3,1,0,844,0.472965238,47092,0,0,0,0,,646,0.017922365,1,Fair,641-650,Moderate (30-60%),Target (<36%),1–3%,No debt,501-1000,0
0,24,0,0,0,0,0,1,0,0,1,0,0,0,1429,3,1,0,940,0.416171571,26386,0,0,0,0,,517,0.035624953,1,Poor,511-520,Moderate (30-60%),Target (<36%),3–5%,No debt,1001-1500,0
